Date,Open,High,Low,Close,Adj Close,Volume
03/01/2007,12.327143,12.368571,11.7,11.971429,10.363638,309579900
04/01/2007,12.007143,12.278571,11.974286,12.237143,10.593664,211815100
05/01/2007,12.252857,12.314285,12.057143,12.15,10.518225,208685400
08/01/2007,12.28,12.361428,12.182858,12.21,10.570165,199276700
09/01/2007,12.35,13.282857,12.164286,13.224286,11.448232,837324600
10/01/2007,13.535714,13.971429,13.35,13.857142,11.996092,738220000
11/01/2007,13.705714,13.825714,13.585714,13.685715,11.847687,360063200
12/01/2007,13.512857,13.58,13.318571,13.517143,11.701755,328172600
16/01/2007,13.668571,13.892858,13.635715,13.871428,12.00846,311019100
17/01/2007,13.937143,13.942857,13.545714,13.564285,11.742566,411565000
18/01/2007,13.157143,13.158571,12.721429,12.724286,11.01538,591151400
19/01/2007,12.661428,12.807143,12.588572,12.642858,10.944892,341118400
22/01/2007,12.734285,12.737143,12.235714,12.398571,10.733409,363506500
23/01/2007,12.247143,12.501429,12.215714,12.242857,10.598609,301856100
24/01/2007,12.382857,12.45,12.297143,12.385715,10.722281,231953400
25/01/2007,12.444285,12.642858,12.29,12.321428,10.666628,226493400
26/01/2007,12.444285,12.481428,12.141429,12.197143,10.559033,246718500
29/01/2007,12.328571,12.378572,12.218572,12.277143,10.628289,225416100
30/01/2007,12.347143,12.355714,12.178572,12.221429,10.580058,144492600
31/01/2007,12.122857,12.285714,12.05,12.247143,10.602318,214017300
01/02/2007,12.318571,12.324286,12.105714,12.105714,10.479885,166085500
02/02/2007,12.017143,12.178572,11.957143,12.107142,10.481125,155382500
05/02/2007,12.042857,12.175714,11.991428,11.991428,10.38095,144713100
06/02/2007,12.064285,12.067142,11.837143,12.021428,10.406919,216098400
07/02/2007,12.068571,12.34,11.935715,12.307143,10.654263,266706300
08/02/2007,12.204286,12.358571,12.201428,12.311429,10.657969,169757700
09/02/2007,12.268572,12.314285,11.887143,11.895715,10.298089,215135200
12/02/2007,12.061429,12.168571,11.947143,12.125714,10.4972,181017900
13/02/2007,12.165714,12.184286,12.042857,12.1,10.474938,145246500
14/02/2007,12.09,12.234285,12.081429,12.185715,10.549142,126995400
15/02/2007,12.205714,12.231428,12.111428,12.172857,10.53801,90915300
16/02/2007,12.178572,12.201428,12.094286,12.118571,10.491017,99967000
20/02/2007,12.092857,12.308572,12.022857,12.271428,10.623343,154425600
21/02/2007,12.282857,12.784286,12.28,12.742857,11.031457,288828400
22/02/2007,12.971429,12.972857,12.647142,12.787143,11.069796,209556200
23/02/2007,12.737143,12.905714,12.692857,12.724286,11.01538,129473400
26/02/2007,12.834286,12.857142,12.515715,12.644286,10.946124,153962200
27/02/2007,12.328571,12.44,11.915714,11.99,10.379711,286453300
28/02/2007,11.857142,12.228572,11.857142,12.087143,10.463806,229868800
01/03/2007,12.004286,12.615714,11.964286,12.437143,10.766805,353882200
02/03/2007,12.395715,12.505714,12.172857,12.201428,10.562744,215000100
05/03/2007,12.27,12.664286,12.251429,12.331429,10.675284,209724900
06/03/2007,12.542857,12.615714,12.485714,12.598572,10.906552,180796700
07/03/2007,12.578571,12.71,12.492857,12.531428,10.848425,156571100
08/03/2007,12.655714,12.674286,12.494286,12.571428,10.883054,127752800
09/03/2007,12.685715,12.692857,12.485714,12.567142,10.87934,112959000
12/03/2007,12.581429,12.855714,12.57,12.838572,11.114322,182352100
13/03/2007,12.772857,12.942857,12.628572,12.628572,10.932521,216972700
14/03/2007,12.657143,12.857142,12.56,12.857142,11.130396,199146500
15/03/2007,12.851429,12.908571,12.758572,12.795714,11.077216,139874700
16/03/2007,12.791429,12.855714,12.76,12.798572,11.079692,142926000
19/03/2007,12.891429,13.078571,12.798572,13.018572,11.270142,178240300
20/03/2007,13.05,13.12,13.008572,13.068571,11.313428,122229100
21/03/2007,13.141429,13.428572,13.092857,13.41,11.609003,171724000
22/03/2007,13.39,13.48,13.285714,13.422857,11.620132,140373100
23/03/2007,13.335714,13.438571,13.328571,13.36,11.565719,112721000
